,score,episodes,avg_score
0,0.0,300,
1,0.0,300,
2,0.0,300,
3,0.0,300,
4,-2.0,300,
5,4.0,300,
6,0.0,300,
7,0.0,300,
8,1.0,300,
9,0.0,300,
10,0.0,300,
11,2.0,300,
12,2.0,300,
13,3.0,300,
14,3.0,300,
15,-1.0,300,
16,1.0,300,
17,0.0,300,
18,2.0,300,
19,1.0,300,0.8
20,1.0,300,0.85
21,-1.0,300,0.8
22,1.0,300,0.85
23,3.0,300,1.0
24,0.0,300,1.1
25,0.0,300,0.9
26,-1.0,300,0.85
27,2.0,300,0.95
28,0.0,300,0.9
29,3.0,300,1.05
30,0.0,300,1.05
31,-1.0,300,0.9
32,4.0,300,1.0
33,0.0,300,0.85
34,3.0,300,0.85
35,0.0,300,0.9
36,2.0,300,0.95
37,1.0,300,1.0
38,2.0,300,1.0
39,2.0,300,1.05
40,3.0,300,1.15
41,3.0,300,1.35
42,0.0,300,1.3
43,3.0,300,1.3
44,3.0,300,1.45
45,0.0,300,1.45
46,3.0,300,1.65
47,2.0,300,1.65
48,2.0,300,1.75
49,-1.0,300,1.55
50,6.0,300,1.85
51,1.0,300,1.95
52,1.0,300,1.8
53,8.0,300,2.2
54,4.0,300,2.25
55,5.0,300,2.5
56,0.0,300,2.4
57,1.0,300,2.4
58,7.0,300,2.65
59,7.0,300,2.9
60,5.0,300,3.0
61,5.0,300,3.1
62,-1.0,300,3.05
63,1.0,300,2.95
64,2.0,300,2.9
65,3.0,300,3.05
66,8.0,300,3.3
67,7.0,300,3.55
68,5.0,300,3.7
69,4.0,300,3.95
70,5.0,300,3.9
71,-1.0,300,3.8
72,2.0,300,3.85
73,3.0,300,3.6
74,-1.0,300,3.35
75,2.0,300,3.2
76,2.0,300,3.3
77,8.0,300,3.65
78,1.0,300,3.35
79,13.0,300,3.65
80,1.0,300,3.45
81,2.0,300,3.3
82,5.0,300,3.6
83,2.0,300,3.65
84,3.0,300,3.7
85,7.0,300,3.9
86,1.0,300,3.55
87,6.0,300,3.5
88,3.0,300,3.4
89,0.0,300,3.2
90,1.0,300,3.0
91,0.0,300,3.05
92,0.0,300,2.95
93,3.0,300,2.95
94,1.0,300,3.05
95,4.0,300,3.15
96,4.0,300,3.25
97,1.0,300,2.9
98,3.0,300,3.0
99,3.0,300,2.5
100,1.0,300,2.5
101,0.0,300,2.4
102,8.0,300,2.55
103,1.0,300,2.5
104,2.0,300,2.45
105,0.0,300,2.1
106,5.0,300,2.3
107,0.0,300,2.0
108,4.0,300,2.05
109,2.0,300,2.15
110,0.0,300,2.1
111,0.0,300,2.1
112,3.0,300,2.25
113,2.0,300,2.2
114,1.0,300,2.2
115,0.0,300,2.0
116,6.0,300,2.1
117,0.0,300,2.05
118,2.0,300,2.0
119,0.0,300,1.85
120,5.0,300,2.05
121,8.0,300,2.45
122,2.0,300,2.15
123,3.0,300,2.25
124,10.0,300,2.65
125,6.0,300,2.95
126,1.0,300,2.75
127,9.0,300,3.2
128,3.0,300,3.15
129,12.0,300,3.65
130,4.0,300,3.85
131,-1.0,300,3.8
132,0.0,300,3.65
133,5.0,300,3.8
134,4.0,300,3.95
135,11.0,300,4.5
136,11.0,300,4.75
137,8.0,300,5.15
138,0.0,300,5.05
139,4.0,300,5.25
140,1.0,300,5.05
141,3.0,300,4.8
142,4.0,300,4.9
143,3.0,300,4.9
144,8.0,300,4.8
145,13.0,300,5.15
146,1.0,300,5.15
147,13.0,300,5.35
148,3.0,300,5.35
149,4.0,300,4.95
150,3.0,300,4.9
151,9.0,300,5.4
152,11.0,300,5.95
153,4.0,300,5.9
154,5.0,300,5.95
155,3.0,300,5.55
156,3.0,300,5.15
157,4.0,300,4.95
158,8.0,300,5.35
159,1.0,300,5.2
160,1.0,300,5.2
161,5.0,300,5.3
162,10.0,300,5.6
163,7.0,300,5.8
164,4.0,300,5.6
165,5.0,300,5.2
166,7.0,300,5.5
167,1.0,300,4.9
168,3.0,300,4.9
169,6.0,300,5.0
170,3.0,300,5.0
171,0.0,300,4.55
172,5.0,300,4.25
173,1.0,300,4.1
174,5.0,300,4.1
175,15.0,300,4.7
176,3.0,300,4.7
177,6.0,300,4.8
178,12.0,300,5.0
179,5.0,300,5.2
180,2.0,300,5.25
181,6.0,300,5.3
182,10.0,300,5.3
183,8.0,300,5.35
184,7.0,300,5.5
185,11.0,300,5.8
186,2.0,300,5.55
187,7.0,300,5.85
188,5.0,300,5.95
189,4.0,300,5.85
190,10.0,300,6.2
191,0.0,300,6.2
192,4.0,300,6.15
193,15.0,300,6.85
194,10.0,300,7.1
195,14.0,300,7.05
196,8.0,300,7.3
197,-1.0,300,6.95
198,7.0,300,6.7
199,9.0,300,6.9
200,6.0,300,7.1
201,4.0,300,7.0
202,8.0,300,6.9
203,6.0,300,6.8
204,3.0,300,6.6
205,3.0,300,6.2
206,6.0,300,6.4
207,6.0,300,6.35
208,5.0,300,6.35
209,11.0,300,6.7
210,4.0,300,6.4
211,16.0,300,7.2
212,11.0,300,7.55
213,2.0,300,6.9
214,5.0,300,6.65
215,2.0,300,6.05
216,8.0,300,6.05
217,4.0,300,6.3
218,9.0,300,6.4
219,5.0,300,6.2
220,7.0,300,6.25
221,8.0,300,6.45
222,4.0,300,6.25
223,9.0,300,6.4
224,3.0,300,6.4
225,8.0,300,6.65
226,6.0,300,6.65
227,6.0,300,6.65
228,4.0,300,6.6
229,0.0,300,6.05
230,7.0,300,6.2
231,14.0,300,6.1
232,6.0,300,5.85
233,9.0,300,6.2
234,8.0,300,6.35
235,5.0,300,6.5
236,3.0,300,6.25
237,1.0,300,6.1
238,8.0,300,6.05
239,7.0,300,6.15
240,10.0,300,6.3
241,2.0,300,6.0
242,12.0,300,6.4
243,7.0,300,6.3
244,4.0,300,6.35
245,0.0,300,5.95
246,9.0,300,6.1
247,13.0,300,6.45
248,9.0,300,6.7
249,10.0,300,7.2
250,4.0,300,7.05
251,9.0,300,6.8
252,12.0,300,7.1
253,4.0,300,6.85
254,11.0,300,7.0
255,5.0,300,7.0
256,4.0,300,7.05
257,8.0,300,7.4
258,4.0,300,7.2
259,6.0,300,7.15
260,5.0,300,6.9
261,12.0,300,7.4
262,13.0,300,7.45
263,19.0,300,8.05
264,11.0,300,8.4
265,9.0,300,8.85
266,9.0,300,8.85
267,16.0,300,9.0
268,8.0,300,8.95
269,9.0,300,8.9
270,12.0,300,9.3
271,10.0,300,9.35
272,8.0,300,9.15
273,11.0,300,9.5
274,8.0,300,9.35
275,15.0,300,9.85
276,1.0,300,9.7
277,4.0,300,9.5
278,16.0,300,10.1
279,6.0,300,10.1
280,2.0,300,9.95
281,6.0,300,9.65
282,4.0,300,9.2
283,8.0,300,8.65
284,10.0,300,8.6
285,8.0,300,8.55
286,9.0,300,8.55
287,3.0,300,7.9
288,-1.0,300,7.45
289,7.0,300,7.35
290,16.0,300,7.55
291,18.0,300,7.95
292,2.0,300,7.65
293,16.0,300,7.9
294,3.0,300,7.65
295,11.0,300,7.45
296,7.0,300,7.75
297,6.0,300,7.85
298,12.0,300,7.65
299,11.0,300,7.9
300,12.0,300,8.4
301,19.0,300,9.05
302,6.0,300,9.15
303,15.0,300,9.5
304,11.0,300,9.55
305,2.0,300,9.25
306,9.0,300,9.25
307,2.0,300,9.2
308,17.0,300,10.1
309,1.0,300,9.8
310,16.0,300,9.8
311,3.0,300,9.05
312,4.0,300,9.15
313,12.0,300,8.95
314,9.0,300,9.25
315,16.0,300,9.5
316,11.0,300,9.7
317,-1.0,300,9.35
318,9.0,300,9.2
