,score,episodes,avg_score
0,0.0,300,
1,2.0,300,
2,1.0,300,
3,-3.0,300,
4,0.0,300,
5,3.0,300,
6,0.0,300,
7,2.0,300,
8,2.0,300,
9,-1.0,300,
10,-1.0,300,
11,2.0,300,
12,1.0,300,
13,3.0,300,
14,2.0,300,
15,-2.0,300,
16,1.0,300,
17,0.0,300,
18,0.0,300,
19,0.0,300,0.6
20,1.0,300,0.65
21,0.0,300,0.55
22,2.0,300,0.6
23,5.0,300,1.0
24,1.0,300,1.05
25,4.0,300,1.1
26,3.0,300,1.25
27,1.0,300,1.2
28,0.0,300,1.1
29,2.0,300,1.25
30,0.0,300,1.3
31,5.0,300,1.45
32,2.0,300,1.5
33,4.0,300,1.55
34,0.0,300,1.45
35,2.0,300,1.65
36,4.0,300,1.8
37,5.0,300,2.05
38,4.0,300,2.25
39,-1.0,300,2.2
40,8.0,300,2.55
41,3.0,300,2.7
42,3.0,300,2.75
43,5.0,300,2.75
44,0.0,300,2.7
45,4.0,300,2.7
46,1.0,300,2.6
47,2.0,300,2.65
48,7.0,300,3.0
49,4.0,300,3.1
50,8.0,300,3.5
51,2.0,300,3.35
52,6.0,300,3.55
53,8.0,300,3.75
54,5.0,300,4.0
55,-2.0,300,3.8
56,5.0,300,3.85
57,3.0,300,3.75
58,5.0,300,3.8
59,8.0,300,4.25
60,2.0,300,3.95
61,9.0,300,4.25
62,6.0,300,4.4
63,3.0,300,4.3
64,6.0,300,4.6
65,5.0,300,4.65
66,11.0,300,5.15
67,5.0,300,5.3
68,8.0,300,5.35
69,7.0,300,5.5
70,0.0,300,5.1
71,4.0,300,5.2
72,7.0,300,5.25
73,6.0,300,5.15
74,6.0,300,5.2
75,11.0,300,5.85
76,8.0,300,6.0
77,3.0,300,6.0
78,5.0,300,6.0
79,0.0,300,5.6
80,4.0,300,5.7
81,3.0,300,5.4
82,7.0,300,5.45
83,3.0,300,5.45
84,8.0,300,5.55
85,1.0,300,5.35
86,4.0,300,5.0
87,8.0,300,5.15
88,5.0,300,5.0
89,2.0,300,4.75
90,5.0,300,5.0
91,12.0,300,5.4
92,4.0,300,5.25
93,7.0,300,5.3
94,9.0,300,5.45
95,5.0,300,5.15
96,4.0,300,4.95
97,7.0,300,5.15
98,7.0,300,5.25
99,5.0,300,5.5
100,4.0,300,5.5
101,10.0,300,5.85
102,0.0,300,5.5
103,7.0,300,5.7
104,4.0,300,5.5
105,3.0,300,5.6
106,13.0,300,6.05
107,0.0,300,5.65
108,2.0,300,5.5
109,0.0,300,5.4
110,13.0,300,5.8
111,1.0,300,5.25
112,0.0,300,5.05
113,12.0,300,5.3
114,3.0,300,5.0
115,4.0,300,4.95
116,6.0,300,5.05
117,7.0,300,5.05
118,0.0,300,4.7
119,2.0,300,4.55
120,10.0,300,4.85
121,6.0,300,4.65
122,1.0,300,4.7
123,8.0,300,4.75
124,3.0,300,4.7
125,11.0,300,5.1
126,5.0,300,4.7
127,12.0,300,5.3
128,1.0,300,5.25
129,8.0,300,5.65
130,2.0,300,5.1
131,1.0,300,5.1
132,6.0,300,5.4
133,3.0,300,4.95
134,0.0,300,4.8
135,4.0,300,4.8
136,7.0,300,4.85
137,3.0,300,4.65
138,3.0,300,4.8
139,11.0,300,5.25
140,1.0,300,4.8
141,3.0,300,4.65
142,4.0,300,4.8
143,4.0,300,4.6
144,9.0,300,4.9
145,0.0,300,4.35
146,0.0,300,4.1
147,6.0,300,3.8
148,3.0,300,3.9
149,1.0,300,3.55
150,6.0,300,3.75
151,0.0,300,3.7
152,4.0,300,3.6
153,1.0,300,3.5
154,5.0,300,3.75
155,2.0,300,3.65
156,7.0,300,3.65
157,10.0,300,4.0
158,5.0,300,4.1
159,27.0,300,4.9
160,11.0,300,5.4
161,3.0,300,5.4
162,3.0,300,5.35
163,4.0,300,5.35
164,9.0,300,5.35
165,3.0,300,5.5
166,5.0,300,5.75
167,9.0,300,5.9
168,2.0,300,5.85
169,11.0,300,6.35
170,17.0,300,6.9
171,1.0,300,6.95
172,6.0,300,7.05
173,1.0,300,7.05
174,5.0,300,7.05
175,1.0,300,7.0
176,4.0,300,6.85
177,3.0,300,6.5
178,10.0,300,6.75
179,10.0,300,5.9
180,8.0,300,5.75
181,8.0,300,6.0
182,1.0,300,5.9
183,5.0,300,5.95
184,7.0,300,5.85
185,18.0,300,6.6
186,7.0,300,6.7
187,7.0,300,6.6
188,6.0,300,6.8
189,16.0,300,7.05
190,6.0,300,6.5
191,12.0,300,7.05
192,5.0,300,7.0
193,2.0,300,7.05
194,10.0,300,7.3
195,11.0,300,7.8
196,2.0,300,7.7
197,9.0,300,8.0
198,14.0,300,8.2
199,8.0,300,8.1
200,13.0,300,8.35
201,6.0,300,8.25
202,13.0,300,8.85
203,13.0,300,9.25
204,4.0,300,9.1
205,5.0,300,8.45
206,12.0,300,8.7
207,5.0,300,8.6
208,13.0,300,8.95
209,9.0,300,8.6
210,5.0,300,8.55
211,13.0,300,8.6
212,15.0,300,9.1
213,6.0,300,9.3
214,17.0,300,9.65
215,14.0,300,9.8
216,2.0,300,9.8
217,9.0,300,9.8
218,11.0,300,9.65
219,7.0,300,9.6
220,9.0,300,9.4
221,16.0,300,9.9
222,14.0,300,9.95
223,14.0,300,10.0
224,10.0,300,10.3
225,2.0,300,10.15
226,11.0,300,10.1
227,11.0,300,10.4
228,2.0,300,9.85
229,7.0,300,9.75
230,3.0,300,9.65
231,2.0,300,9.1
232,18.0,300,9.25
233,1.0,300,9.0
234,18.0,300,9.05
235,2.0,300,8.45
236,1.0,300,8.4
237,9.0,300,8.4
238,4.0,300,8.05
239,17.0,300,8.55
240,2.0,300,8.2
241,9.0,300,7.85
242,16.0,300,7.95
243,9.0,300,7.7
244,16.0,300,8.0
245,6.0,300,8.2
246,18.0,300,8.55
247,13.0,300,8.65
248,15.0,300,9.3
249,13.0,300,9.6
250,12.0,300,10.05
251,6.0,300,10.25
252,15.0,300,10.1
253,13.0,300,10.7
254,16.0,300,10.6
255,7.0,300,10.85
256,13.0,300,11.45
257,11.0,300,11.55
258,7.0,300,11.7
259,15.0,300,11.6
260,9.0,300,11.95
261,17.0,300,12.35
262,13.0,300,12.2
263,10.0,300,12.25
264,2.0,300,11.55
265,1.0,300,11.3
266,9.0,300,10.85
267,13.0,300,10.85
268,12.0,300,10.7
269,4.0,300,10.25
270,9.0,300,10.1
271,12.0,300,10.4
272,10.0,300,10.15
273,3.0,300,9.65
274,17.0,300,9.7
275,18.0,300,10.25
276,10.0,300,10.1
277,12.0,300,10.15
278,13.0,300,10.45
279,16.0,300,10.5
280,2.0,300,10.15
281,10.0,300,9.8
282,1.0,300,9.2
283,13.0,300,9.35
284,7.0,300,9.6
285,9.0,300,10.0
286,11.0,300,10.1
287,11.0,300,10.0
288,9.0,300,9.85
289,11.0,300,10.2
290,2.0,300,9.85
291,12.0,300,9.85
292,18.0,300,10.25
293,10.0,300,10.6
294,4.0,300,9.95
295,6.0,300,9.35
296,15.0,300,9.6
297,10.0,300,9.5
298,9.0,300,9.3
299,2.0,300,8.6
300,10.0,300,9.0
301,11.0,300,9.05
302,17.0,300,9.85
303,15.0,300,9.95
304,13.0,300,10.25
305,11.0,300,10.35
306,19.0,300,10.75
307,14.0,300,10.9
308,17.0,300,11.3
309,1.0,300,10.8
310,10.0,300,11.2
311,16.0,300,11.4
312,11.0,300,11.05
313,21.0,300,11.6
314,16.0,300,12.2
315,17.0,300,12.75
316,12.0,300,12.6
317,12.0,300,12.7
318,6.0,300,12.55
319,14.0,300,13.15
320,15.0,300,13.4
321,18.0,300,13.75
322,18.0,300,13.8
323,17.0,300,13.9
324,4.0,300,13.45
325,15.0,300,13.65
326,12.0,300,13.3
327,10.0,300,13.1
328,10.0,300,12.75
329,15.0,300,13.45
330,16.0,300,13.75
331,16.0,300,13.75
332,16.0,300,14.0
333,16.0,300,13.75
334,14.0,300,13.65
335,7.0,300,13.15
336,1.0,300,12.6
337,21.0,300,13.05
338,15.0,300,13.5
339,13.0,300,13.45
340,19.0,300,13.65
341,17.0,300,13.6
342,19.0,300,13.65
343,16.0,300,13.6
344,6.0,300,13.7
345,17.0,300,13.8
346,17.0,300,14.05
347,10.0,300,14.05
348,12.0,300,14.15
349,13.0,300,14.05
350,14.0,300,13.95
351,14.0,300,13.85
352,18.0,300,13.95
353,7.0,300,13.5
354,12.0,300,13.4
355,12.0,300,13.65
356,13.0,300,14.25
357,17.0,300,14.05
358,10.0,300,13.8
359,10.0,300,13.65
360,13.0,300,13.35
361,7.0,300,12.85
362,12.0,300,12.5
363,8.0,300,12.1
364,14.0,300,12.5
365,15.0,300,12.4
366,13.0,300,12.2
367,16.0,300,12.5
368,5.0,300,12.15
369,16.0,300,12.3
370,8.0,300,12.0
371,18.0,300,12.2
372,13.0,300,11.95
373,19.0,300,12.55
374,19.0,300,12.9
375,10.0,300,12.8
376,3.0,300,12.3
377,11.0,300,12.0
378,13.0,300,12.15
379,18.0,300,12.55
380,19.0,300,12.85
381,6.0,300,12.8
382,-1.0,300,12.15
383,11.0,300,12.3
384,15.0,300,12.35
385,17.0,300,12.45
386,10.0,300,12.3
387,12.0,300,12.1
388,14.0,300,12.55
389,13.0,300,12.4
390,4.0,300,12.2
391,14.0,300,12.0
392,14.0,300,12.05
393,16.0,300,11.9
394,15.0,300,11.7
395,17.0,300,12.05
396,12.0,300,12.5
397,9.0,300,12.4
398,6.0,300,12.05
399,17.0,300,12.0
400,19.0,300,12.0
