,score,episodes,avg_score
270,15.0,300,13.0
271,8.0,300,12.5
272,12.0,300,12.4
273,14.0,300,12.25
274,10.0,300,12.2
275,18.0,300,12.5
276,8.0,300,12.1
277,18.0,300,12.15
278,10.0,300,12.0
279,9.0,300,12.1
280,10.0,300,11.8
281,9.0,300,12.0
282,14.0,300,12.1
283,13.0,300,12.15
284,3.0,300,11.75
285,20.0,300,12.1
286,0.0,300,11.45
287,8.0,300,11.5
288,6.0,300,10.9
289,20.0,300,11.25
290,12.0,300,11.1
291,3.0,300,10.85
292,11.0,300,10.8
293,14.0,300,10.8
294,15.0,300,11.05
295,4.0,300,10.35
296,22.0,300,11.05
297,7.0,300,10.5
298,1.0,300,10.05
299,15.0,300,10.35
300,14.0,300,10.55
301,12.0,300,10.7
302,13.0,300,10.65
303,3.0,300,10.15
304,9.0,300,10.45
305,15.0,300,10.2
306,14.0,300,10.9
307,20.0,300,11.5
308,14.0,300,11.9
309,8.0,300,11.3
310,13.0,300,11.35
311,13.0,300,11.85
312,24.0,300,12.5
313,13.0,300,12.45
314,9.0,300,12.15
315,20.0,300,12.95
316,7.0,300,12.2
317,15.0,300,12.6
318,18.0,300,13.45
319,14.0,300,13.4
320,13.0,300,13.35
321,16.0,300,13.55
322,9.0,300,13.35
323,14.0,300,13.9
324,19.0,300,14.4
325,18.0,300,14.55
326,17.0,300,14.7
327,11.0,300,14.25
328,6.0,300,13.85
329,1.0,300,13.5
330,14.0,300,13.55
331,15.0,300,13.65
332,8.0,300,12.85
333,7.0,300,12.55
334,9.0,300,12.55
335,14.0,300,12.25
336,19.0,300,12.85
337,18.0,300,13.0
338,13.0,300,12.75
339,22.0,300,13.15
340,9.0,300,12.95
341,4.0,300,12.35
342,14.0,300,12.6
343,11.0,300,12.45
344,18.0,300,12.4
345,10.0,300,12.0
346,4.0,300,11.35
347,12.0,300,11.4
348,19.0,300,12.05
349,13.0,300,12.65
350,4.0,300,12.15
351,9.0,300,11.85
352,13.0,300,12.1
353,16.0,300,12.55
354,16.0,300,12.9
355,10.0,300,12.7
356,16.0,300,12.55
357,5.0,300,11.9
358,18.0,300,12.15
359,11.0,300,11.6
360,5.0,300,11.4
361,22.0,300,12.3
362,1.0,300,11.65
363,3.0,300,11.25
364,18.0,300,11.25
365,7.0,300,11.1
366,6.0,300,11.2
367,16.0,300,11.4
368,14.0,300,11.15
369,14.0,300,11.2
370,18.0,300,11.9
371,14.0,300,12.15
372,6.0,300,11.8
373,10.0,300,11.5
374,19.0,300,11.65
375,19.0,300,12.1
376,17.0,300,12.15
377,13.0,300,12.55
378,16.0,300,12.45
379,13.0,300,12.55
380,13.0,300,12.95
381,4.0,300,12.05
382,16.0,300,12.8
383,9.0,300,13.1
384,15.0,300,12.95
385,15.0,300,13.35
386,13.0,300,13.7
387,15.0,300,13.65
388,10.0,300,13.45
389,13.0,300,13.4
390,21.0,300,13.55
391,17.0,300,13.7
392,14.0,300,14.1
393,1.0,300,13.65
394,12.0,300,13.3
395,10.0,300,12.85
396,17.0,300,12.85
397,20.0,300,13.2
398,21.0,300,13.45
399,17.0,300,13.65
400,17.0,300,13.85
401,17.0,300,14.5
402,5.0,300,13.95
403,9.0,300,13.95
404,15.0,300,13.95
405,18.0,300,14.1
