,score,episodes,avg_score
270,15.0,300,12.2
271,17.0,300,12.35
272,12.0,300,12.35
273,20.0,300,13.1
274,10.0,300,13.3
275,13.0,300,13.45
276,11.0,300,13.0
277,11.0,300,12.8
278,17.0,300,12.8
279,12.0,300,12.55
280,13.0,300,12.8
281,16.0,300,12.85
282,17.0,300,13.25
283,14.0,300,13.3
284,7.0,300,13.05
285,17.0,300,13.3
286,15.0,300,13.65
287,24.0,300,14.3
288,14.0,300,14.35
289,16.0,300,14.55
290,20.0,300,14.8
291,9.0,300,14.4
292,13.0,300,14.45
293,9.0,300,13.9
294,20.0,300,14.4
295,15.0,300,14.5
296,16.0,300,14.75
297,10.0,300,14.7
298,24.0,300,15.05
299,21.0,300,15.5
300,8.0,300,15.25
301,14.0,300,15.15
302,16.0,300,15.1
303,15.0,300,15.15
304,21.0,300,15.85
