,score,episodes,avg_score
269,3.0,300,11.65
270,6.0,300,11.3
271,14.0,300,11.5
272,17.0,300,11.6
273,10.0,300,11.6
274,23.0,300,12.55
275,14.0,300,12.95
276,13.0,300,13.05
277,14.0,300,13.2
278,8.0,300,12.75
279,17.0,300,13.0
280,14.0,300,13.0
281,18.0,300,13.25
282,17.0,300,13.4
283,18.0,300,13.35
284,15.0,300,13.8
285,13.0,300,13.5
286,4.0,300,13.3
287,3.0,300,12.65
288,4.0,300,12.25
289,7.0,300,12.45
290,10.0,300,12.65
291,15.0,300,12.7
292,19.0,300,12.8
293,23.0,300,13.45
294,7.0,300,12.65
295,16.0,300,12.75
296,14.0,300,12.8
297,12.0,300,12.7
298,14.0,300,13.0
299,13.0,300,12.8
300,18.0,300,13.0
301,4.0,300,12.3
302,15.0,300,12.2
303,12.0,300,11.9
304,15.0,300,11.9
305,13.0,300,11.9
306,16.0,300,12.5
307,13.0,300,13.0
308,6.0,300,13.1
309,11.0,300,13.3
310,12.0,300,13.4
311,18.0,300,13.55
312,17.0,300,13.45
313,17.0,300,13.15
314,11.0,300,13.35
315,10.0,300,13.05
316,16.0,300,13.15
317,4.0,300,12.75
318,13.0,300,12.7
319,14.0,300,12.75
320,12.0,300,12.45
321,9.0,300,12.7
322,12.0,300,12.55
323,4.0,300,12.15
324,11.0,300,11.95
325,5.0,300,11.55
326,17.0,300,11.6
327,20.0,300,11.95
328,15.0,300,12.4
329,10.0,300,12.35
330,19.0,300,12.7
331,20.0,300,12.8
332,18.0,300,12.85
333,19.0,300,12.95
334,9.0,300,12.85
335,6.0,300,12.65
336,23.0,300,13.0
337,17.0,300,13.65
338,17.0,300,13.85
339,18.0,300,14.05
340,16.0,300,14.25
341,4.0,300,14.0
342,14.0,300,14.1
343,10.0,300,14.4
344,12.0,300,14.45
345,3.0,300,14.35
346,6.0,300,13.8
347,19.0,300,13.75
348,15.0,300,13.75
349,6.0,300,13.55
350,5.0,300,12.85
351,7.0,300,12.2
352,13.0,300,11.95
353,25.0,300,12.25
354,21.0,300,12.85
355,15.0,300,13.3
356,11.0,300,12.7
357,8.0,300,12.25
358,20.0,300,12.4
359,19.0,300,12.45
